institution_id,amount,basis,certainty,note
school:67363733,14949296,realized,observed,FIN 2-01 PO account 672/673; school IČO 67363733
school:16977246,91225052,realized,observed,FIN 2-01 PO account 672/673; school IČO 16977246
school:70939063,10888110,realized,observed,FIN 2-01 PO account 672/673; school IČO 70939063
school:70939071,10210937,realized,observed,FIN 2-01 PO account 672/673; school IČO 70939071
school:70939578,13273312,realized,observed,FIN 2-01 PO account 672/673; school IČO 70939578
school:75033755,14259626,realized,observed,FIN 2-01 PO account 672/673; school IČO 75033755
school:70990689,4802257,realized,observed,FIN 2-01 PO account 672/673; school IČO 70990689
school:75034999,4412585,realized,observed,FIN 2-01 PO account 672/673; school IČO 75034999
school:70989494,4659744,realized,observed,FIN 2-01 PO account 672/673; school IČO 70989494
school:70993459,5341985,realized,observed,FIN 2-01 PO account 672/673; school IČO 70993459
school:75034247,4694560,realized,observed,FIN 2-01 PO account 672/673; school IČO 75034247
school:75031086,2892238,realized,observed,FIN 2-01 PO account 672/673; school IČO 75031086
school:75033194,5501686,realized,observed,FIN 2-01 PO account 672/673; school IČO 75033194
school:70994951,6357504,realized,observed,FIN 2-01 PO account 672/673; school IČO 70994951
school:70994960,2467933,realized,observed,FIN 2-01 PO account 672/673; school IČO 70994960
school:70989567,27073366,realized,observed,FIN 2-01 PO account 672/673; school IČO 70989567
school:75033780,7133115,realized,observed,FIN 2-01 PO account 672/673; school IČO 75033780
school:71002227,11333970,realized,observed,FIN 2-01 PO account 672/673; school IČO 71002227
school:75030951,12315447,realized,observed,FIN 2-01 PO account 672/673; school IČO 75030951
school:75034719,14785023,realized,observed,FIN 2-01 PO account 672/673; school IČO 75034719
school:75034701,14308436,realized,observed,FIN 2-01 PO account 672/673; school IČO 75034701
school:75034697,11841379,realized,observed,FIN 2-01 PO account 672/673; school IČO 75034697
school:75034689,7618877,realized,observed,FIN 2-01 PO account 672/673; school IČO 75034689
school:70988161,3311337,realized,observed,FIN 2-01 PO account 672/673; school IČO 70988161
