institution_id,ico,total_costs_amount,materials_amount,energy_amount,repairs_amount,services_amount,personnel_amount,depreciation_amount,other_costs_amount,basis,certainty,note
school:00410233,00410233,29394097,1771311,1003907,408956,1108049,24259751,119572,722551,realized,observed,MONITOR VYKZZ main-activity costs; rent is included in account 518 services
school:00473634,00473634,71441452,3384202,1488530,1618623,1385817,58877171,520460,4166649,realized,observed,MONITOR VYKZZ main-activity costs; rent is included in account 518 services
school:00473944,00473944,64209375,5159414,3255274,1435542,3975292,47167682,575657,2640514,realized,observed,MONITOR VYKZZ main-activity costs; rent is included in account 518 services
school:00474029,00474029,50376822,3209089,2185463,314699,1288826,40981454,152946,2244345,realized,observed,MONITOR VYKZZ main-activity costs; rent is included in account 518 services
school:00476919,00476919,49303469,1068375,2181756,1853139,3415649,37693004,985469,2106077,realized,observed,MONITOR VYKZZ main-activity costs; rent is included in account 518 services
school:00477419,00477419,84196667,6062524,5115303,5142986,4073350,56520361,4936000,2346143,realized,observed,MONITOR VYKZZ main-activity costs; rent is included in account 518 services
school:00495433,00495433,73500477,9120068,3818210,1838425,2414289,44914705,6672984,4721796,realized,observed,MONITOR VYKZZ main-activity costs; rent is included in account 518 services
school:00497029,00497029,40272314,2768698,1811541,1447814,1268526,30368039,448820,2158876,realized,observed,MONITOR VYKZZ main-activity costs; rent is included in account 518 services
school:00497061,00497061,101272016,7385339,6622705,2447351,6345154,70979322,2689738,4802407,realized,observed,MONITOR VYKZZ main-activity costs; rent is included in account 518 services
school:00497070,00497070,132577130,6431858,9276861,1457134,8504083,93131203,7079208,6696783,realized,observed,MONITOR VYKZZ main-activity costs; rent is included in account 518 services
school:00497088,00497088,127061395,9169302,7049917,5457356,4779227,87460734,9919142,3225717,realized,observed,MONITOR VYKZZ main-activity costs; rent is included in account 518 services
school:00497126,00497126,48942618,3334542,2352098,259965,2082642,37162815,2961699,788857,realized,observed,MONITOR VYKZZ main-activity costs; rent is included in account 518 services
school:00498653,00498653,33391901,3869587,2636278,1650263,1078375,22923709,39689,1194000,realized,observed,MONITOR VYKZZ main-activity costs; rent is included in account 518 services
school:00498793,00498793,62001792,2747837,2823278,1150249,2024949,51260629,729213,1265637,realized,observed,MONITOR VYKZZ main-activity costs; rent is included in account 518 services
school:00498815,00498815,38680588,2263966,1195707,379425,907848,32012327,784960,1136355,realized,observed,MONITOR VYKZZ main-activity costs; rent is included in account 518 services
