institution_id,pedagogical_amount,nonpedagogical_amount,oniv_amount,other_amount,operations_amount,investment_amount,bucket_basis,bucket_certainty
school:60611197,4044111,371778,65067,1536729,0,0,allocated,observed
school:70897476,4289413,159376,15936,1548179,0,0,allocated,observed
school:70980837,4003880,416902,48085,1538432,0,0,allocated,observed
school:60610077,4048059,342738,87624,1527997,0,0,allocated,observed
school:75023458,4049333,343910,75454,1528848,0,0,allocated,observed
school:75034336,4070501,304003,95492,1522327,0,0,allocated,observed
school:75027399,3968771,419410,51021,1527087,0,0,allocated,observed
school:70990468,3935548,425166,87624,1517528,0,0,allocated,observed
school:60610115,4057597,352661,20826,1534770,0,0,allocated,observed
school:70998094,4069588,305759,66935,1522620,0,0,allocated,observed
school:75015552,4012768,368799,57404,1524786,0,0,allocated,observed
school:75006324,3890543,517674,18423,1534059,0,0,allocated,observed
school:60611871,3995122,375463,64173,1520964,0,0,allocated,observed
school:71000500,4019599,341565,73586,1517685,0,0,allocated,observed
school:75033925,4049305,352661,17889,1531885,0,0,allocated,observed
school:60610450,3883725,492388,49655,1522887,0,0,allocated,observed
school:47701617,3846140,533878,38124,1524246,0,0,allocated,observed
school:75015188,3961761,413139,44584,1522465,0,0,allocated,observed
school:70986819,3962538,426789,22224,1527486,0,0,allocated,observed
school:70995451,4038167,352661,18423,1528008,0,0,allocated,observed
school:70986886,4022147,365965,21522,1527063,0,0,allocated,observed
school:70994544,3971979,375205,76671,1512820,0,0,allocated,observed
school:75023792,3920384,448741,34517,1520455,0,0,allocated,observed
school:71003762,3904512,446971,54555,1514316,0,0,allocated,observed
school:70853584,4228643,153096,6240,1524845,0,0,allocated,observed
school:60121602,3889328,426339,87624,1501852,0,0,allocated,observed
school:70997306,3945955,377046,76020,1504404,0,0,allocated,observed
school:60610743,3929745,426789,24360,1516073,0,0,allocated,observed
school:72742259,4005661,352661,21156,1516696,0,0,allocated,observed
school:06072283,4004856,352661,21957,1516416,0,0,allocated,observed
school:71000577,4006225,352661,18957,1516892,0,0,allocated,observed
school:75000083,3896097,448741,37454,1512003,0,0,allocated,observed
school:71004475,3964676,376076,36951,1510582,0,0,allocated,observed
school:72741651,3907482,443546,21627,1514157,0,0,allocated,observed
school:71006265,3906685,418156,49537,1505044,0,0,allocated,observed
school:63832372,3994804,352661,18957,1512918,0,0,allocated,observed
school:75002884,3906530,393054,80322,1496255,0,0,allocated,observed
school:62859005,4008046,314047,47519,1504088,0,0,allocated,observed
school:70986843,3900258,440093,20736,1510443,0,0,allocated,observed
school:72744600,3965217,343401,61589,1499399,0,0,allocated,observed
school:70984875,3851062,467816,42887,1502970,0,0,allocated,observed
school:72742208,3978666,352661,19491,1507302,0,0,allocated,observed
school:60610131,3967268,338618,51351,1498448,0,0,allocated,observed
school:70985375,3884497,418260,50488,1497360,0,0,allocated,observed
school:72743417,4020428,286026,39063,1498646,0,0,allocated,observed
school:72741601,3955646,344028,47252,1496287,0,0,allocated,observed
school:66934885,3961867,357653,17829,1503193,0,0,allocated,observed
school:71001417,3870448,432830,36685,1497541,0,0,allocated,observed
school:70695903,3950694,343401,46302,1494345,0,0,allocated,observed
school:75018209,3869172,418783,49003,1492209,0,0,allocated,observed
school:47791098,3956824,352661,19758,1499701,0,0,allocated,observed
school:70188416,3872469,415020,40900,1492046,0,0,allocated,observed
school:72743158,3846007,412119,69873,1481828,0,0,allocated,observed
school:70999392,3848366,419410,52953,1485186,0,0,allocated,observed
school:75033933,3935738,352661,21690,1492363,0,0,allocated,observed
school:71008241,3932032,352661,24690,1491073,0,0,allocated,observed
school:70992428,3913810,347791,54821,1483037,0,0,allocated,observed
school:71003878,3878958,389404,44340,1485390,0,0,allocated,observed
school:70225923,3932551,352661,21423,1491254,0,0,allocated,observed
school:70985286,3844728,418156,51053,1483484,0,0,allocated,observed
school:70992568,3836193,422546,56572,1482041,0,0,allocated,observed
school:60157411,3859895,426789,18156,1491766,0,0,allocated,observed
school:71004068,3931046,352661,20025,1490730,0,0,allocated,observed
school:47791101,3930250,352661,20292,1490453,0,0,allocated,observed
school:70983976,3917174,339245,53369,1481234,0,0,allocated,observed
school:72742437,3920658,342146,43868,1483456,0,0,allocated,observed
school:71010521,3826559,443619,28998,1486022,0,0,allocated,observed
school:70999317,3889298,343910,76671,1473156,0,0,allocated,observed
school:70924325,3918447,352661,21423,1486346,0,0,allocated,observed
school:63831317,3917058,352661,19224,1485862,0,0,allocated,observed
school:71003908,3904350,340500,52536,1477208,0,0,allocated,observed
school:60157372,3911955,352661,20826,1484086,0,0,allocated,observed
school:07990235,3799122,463839,18957,1483511,0,0,allocated,observed
school:72743247,3911683,352661,16821,1483991,0,0,allocated,observed
school:70985146,3783901,449591,58323,1473255,0,0,allocated,observed
school:70940703,3904361,352661,18690,1481443,0,0,allocated,observed
school:63109735,3902914,352661,18957,1480940,0,0,allocated,observed
school:70981477,3809637,419410,49686,1471708,0,0,allocated,observed
school:49753509,3899161,352661,18957,1479634,0,0,allocated,observed
school:47559454,3896180,352661,19758,1478596,0,0,allocated,observed
school:49558625,3896960,352661,18156,1478868,0,0,allocated,observed
school:70299862,3881424,343401,48854,1470239,0,0,allocated,observed
school:75023091,3877279,345282,51021,1469452,0,0,allocated,observed
school:75027348,3885337,352661,22224,1474823,0,0,allocated,observed
school:75024292,3862670,368759,31048,1472537,0,0,allocated,observed
school:70985766,3855145,341565,73586,1460455,0,0,allocated,observed
school:72744758,3881820,352661,18690,1473600,0,0,allocated,observed
school:75034875,3868948,339872,51052,1464669,0,0,allocated,observed
school:75026783,3858769,345909,52505,1463228,0,0,allocated,observed
school:71008756,3839312,376076,36684,1466955,0,0,allocated,observed
school:70983747,3783111,434674,33355,1467789,0,0,allocated,observed
school:75016583,3812498,393688,40751,1463753,0,0,allocated,observed
school:70989338,3791636,411257,43601,1462607,0,0,allocated,observed
school:47863757,3865465,352661,20559,1467908,0,0,allocated,observed
school:70695121,3797093,378802,76671,1453212,0,0,allocated,observed
school:71000445,3842939,345282,51288,1457501,0,0,allocated,observed
school:75015501,3801456,388175,48619,1457991,0,0,allocated,observed
school:70941025,3856701,352661,16821,1464858,0,0,allocated,observed
school:70996946,3853331,352661,20826,1463685,0,0,allocated,observed
school:70986924,3852109,352661,19758,1463260,0,0,allocated,observed
school:70107581,3843070,352661,24957,1460114,0,0,allocated,observed
school:71002430,3864830,314047,46153,1454249,0,0,allocated,observed
school:70940525,3842177,352661,22161,1459803,0,0,allocated,observed
school:69749779,3810661,373881,34635,1456220,0,0,allocated,observed
school:75029642,3834920,352661,29025,1457278,0,0,allocated,observed
school:70992827,3839378,352661,21423,1458829,0,0,allocated,observed
school:70946833,3838352,352661,20826,1458472,0,0,allocated,observed
school:75006766,3834881,352661,23025,1457264,0,0,allocated,observed
school:75017822,3836267,352661,20292,1457747,0,0,allocated,observed
school:70156689,4036483,162262,7021,1461163,0,0,allocated,observed
school:75016231,3816481,345909,51971,1448512,0,0,allocated,observed
school:70695831,3830624,352661,20559,1455783,0,0,allocated,observed
school:70985995,3757485,412512,37100,1451159,0,0,allocated,observed
school:71000267,3749822,426789,27423,1453461,0,0,allocated,observed
school:75018144,3755235,426789,17622,1455344,0,0,allocated,observed
school:70992932,3827018,352661,20622,1454529,0,0,allocated,observed
school:60556234,3825826,352661,22224,1454114,0,0,allocated,observed
school:69651205,3826198,352661,20088,1454243,0,0,allocated,observed
school:70989991,3766082,375290,69369,1441198,0,0,allocated,observed
school:70983429,3812394,339872,54052,1444989,0,0,allocated,observed
school:70990280,3822255,352661,22491,1452871,0,0,allocated,observed
school:75016524,3734339,418783,51469,1445286,0,0,allocated,observed
school:61514811,3824501,352661,18957,1453653,0,0,allocated,observed
school:70884013,3812660,342146,44402,1445872,0,0,allocated,observed
school:75006880,3820970,352661,18423,1452423,0,0,allocated,observed
school:70981396,3825738,314047,55889,1440645,0,0,allocated,observed
school:75034638,3758652,363603,76044,1434545,0,0,allocated,observed
school:19688202,3735622,426789,21156,1448519,0,0,allocated,observed
school:70983861,3725986,417529,46569,1441943,0,0,allocated,observed
school:70881600,3773744,376076,37901,1444137,0,0,allocated,observed
school:04916204,3735503,426789,20025,1448478,0,0,allocated,observed
school:75030004,3791257,345282,52953,1439515,0,0,allocated,observed
school:70997845,3818099,331720,34697,1444137,0,0,allocated,observed
school:70979626,3714636,393054,87539,1429476,0,0,allocated,observed
school:11964944,3803677,352661,21423,1446405,0,0,allocated,observed
school:71007555,3805468,352661,17889,1447029,0,0,allocated,observed
school:63029049,3803243,352661,18156,1446255,0,0,allocated,observed
school:70996733,3798677,352661,18690,1444665,0,0,allocated,observed
school:75024284,3766500,343910,73020,1430423,0,0,allocated,observed
school:70985332,3738032,381511,58536,1433601,0,0,allocated,observed
school:71004653,3720729,426789,18690,1443336,0,0,allocated,observed
school:70999759,3793967,352661,19491,1443026,0,0,allocated,observed
school:75034689,3794839,352661,18156,1443330,0,0,allocated,observed
school:48665231,3719500,426789,19758,1442909,0,0,allocated,observed
school:62072765,3792075,352661,18423,1442368,0,0,allocated,observed
school:75024209,3787028,352661,23355,1440612,0,0,allocated,observed
school:75020432,3712337,414393,40484,1436102,0,0,allocated,observed
school:75022818,3789316,352661,19491,1441408,0,0,allocated,observed
