institution_id,programme,project_name,amount,basis,certainty
school:75015200,Operační program Jan Amos Komenský,Šablony pro MŠ a ZŠ II,597488,allocated,observed
school:62331248,Operační program Jan Amos Komenský,Škola budoucnosti: cesta k inovativnímu vzdělávání,1101072,allocated,observed
school:63788233,Operační program Jan Amos Komenský,Škola plná úsměvů,381344,allocated,observed
school:68210582,Operační program Jan Amos Komenský,ZUŠ Skuteč - Šablony 2,544000,allocated,observed
school:61388149,Operační program Jan Amos Komenský,Šablony JAK ZŠ a MŠ Ječná 27 II.,937936,allocated,observed
school:70284351,Operační program Jan Amos Komenský,Šablony pro ZŠ a MŠ Milotice 5,1092016,allocated,observed
school:62537831,Operační program Jan Amos Komenský,Šablony ZŠ Hrdějovice,551568,allocated,observed
school:62331221,Operační program Jan Amos Komenský,Nové příležitosti 2025,504032,allocated,observed
school:48706302,Operační program Jan Amos Komenský,DRÁČEK V ZÁMEČKU 2025-2027,273632,allocated,observed
school:70922616,Operační program Jan Amos Komenský,Inovativní vzdělávání v MŠ Kaplice,414976,allocated,observed
school:48160385,Operační program Jan Amos Komenský,Rovný přístup ke vzdělání v MŠ Moravany II.,360000,allocated,observed
school:72085142,Operační program Jan Amos Komenský,Šablony II - ZUŠ Ústí nad Orlicí,1006560,allocated,observed
school:71000429,Operační program Jan Amos Komenský,Šablony II OP JAK v MŠ Nedachlebice,293632,allocated,observed
school:72085410,Operační program Jan Amos Komenský,Profesní rozvoj,299904,allocated,observed
school:07606001,Operační program Jan Amos Komenský,MŠ UHY 2025-2027,287264,allocated,observed
school:61357383,Operační program Jan Amos Komenský,ZŠ Ročov - projekt Amos II.,360448,allocated,observed
school:70877629,Operační program Jan Amos Komenský,Šablony OP JAK II MŠ K.Štěcha,799728,allocated,observed
school:62075993,Operační program Jan Amos Komenský,ŠABLONY OP JAK II.,287712,allocated,observed
school:70989923,Operační program Jan Amos Komenský,Šablony II OP JAK v MŠ Kunovice,574704,allocated,observed
school:70989001,Operační program Jan Amos Komenský,Kamínky poznání,839184,allocated,observed
school:70994251,Operační program Jan Amos Komenský,Šablony V. pro ZŠ a MŠ Kozojedy,835872,allocated,observed
school:75001161,Operační program Jan Amos Komenský,OP JAK pro MŠ Ostrovec,288706,allocated,observed
school:70506019,Operační program Jan Amos Komenský,Volarismus,346224,allocated,observed
school:44993528,Operační program Jan Amos Komenský,Šablony ZUŠ Veveří,1010208,allocated,observed
school:70999465,Operační program Jan Amos Komenský,Chytrá škola pro žáky V,517040,allocated,observed
school:72742593,Operační program Jan Amos Komenský,Kouzelný svět dětí,280000,allocated,observed
school:48160903,Operační program Jan Amos Komenský,"Šablony II - Moderní vzdělávání v MŠ Přelouč, Kladenská",666816,allocated,observed
school:62540114,Operační program Jan Amos Komenský,Šablony II - Moderní vzdělávání v ZUŠ Gustava Mahlera Humpolec,744608,allocated,observed
school:75032759,Operační program Jan Amos Komenský,Šablony II. OP JAK - MŠ Chrustenice,293632,allocated,observed
school:65650891,Operační program Jan Amos Komenský,Hravá školka,405648,allocated,observed
school:70888116,Operační program Jan Amos Komenský,"Šablony II - Moderní vzdělávání v ZŠ Chrudim, U Stadionu 756",1667264,allocated,observed
school:70993602,Operační program Jan Amos Komenský,MŠ Kameničná 034,297040,allocated,observed
school:45245118,Operační program Jan Amos Komenský,Šablony II ZUŠ V.Petrova Praha,777024,allocated,observed
school:60802677,Operační program Jan Amos Komenský,Pokračujeme.....a stále spolu II,406816,allocated,observed
school:60802707,Operační program Jan Amos Komenský,Ukážeme ti cestu II,400000,allocated,observed
school:63555522,Operační program Jan Amos Komenský,Šablony OP JAK 2 pro MŠ Žlutice,420000,allocated,observed
school:75006031,Operační program Jan Amos Komenský,OP JAK - Šablony II - MŠ Hroznětín,333632,allocated,observed
school:47014369,Operační program Jan Amos Komenský,OP JAK - Šablony II - ZŠ a MŠ Lužná,1023856,allocated,observed
school:70940959,Operační program Jan Amos Komenský,54.MŠ Plzeň-Šablony OP JAK II.,643584,allocated,observed
school:70958122,Operační program Jan Amos Komenský,Šablony II ZŠ 1.máje Havířov,1703408,allocated,observed
school:71005773,Operační program Jan Amos Komenský,Šťastná školka,293632,allocated,observed
school:60437928,Operační program Jan Amos Komenský,Podpora vzdělávání v MŠ Lojovická II,369504,allocated,observed
school:47409908,Operační program Jan Amos Komenský,Vzdělávání pracovníků a inovativní vzdělávání žáků v ZŠ a MŠ Podomí - 2,754976,allocated,observed
school:70918007,Operační program Jan Amos Komenský,Šablony II ZŠ a MŠ Police,608160,allocated,observed
school:75017598,Operační program Jan Amos Komenský,"Třesky, plesky, ať je nám tu spolu hezky",303408,allocated,observed
school:70984913,Operační program Jan Amos Komenský,Šablony II - ZŠ Hnátnice,300000,allocated,observed
school:73728969,Operační program Jan Amos Komenský,Šablony OP JAK 2 pro MŠ Nerudova Nejdek,340000,allocated,observed
school:60232765,Operační program Jan Amos Komenský,Barevná pastelka,429056,allocated,observed
school:71004645,Operační program Jan Amos Komenský,MŠ Zeleneč - Šablony OP JAK II.,477040,allocated,observed
school:71000771,Operační program Jan Amos Komenský,Tradice a inovace II.,713632,allocated,observed
school:00583383,Operační program Jan Amos Komenský,ZŠ a MŠ Zdíkov Šablony II OP JAK,1009056,allocated,observed
school:75021986,Operační program Jan Amos Komenský,Podpora společného vzdělávání ZŠ a MŠ Křoví IV.,637040,allocated,observed
