institution_id,institution_name,ico,founder_id,founder_name,founder_type,municipality,region
school:71001140,IČO 71001140,71001140,founder:00235598,Zřizovatel IČO 00235598,obec,,Středočeský
school:70981833,IČO 70981833,70981833,founder:00272370,Zřizovatel IČO 00272370,obec,,Královéhradecký
school:70998582,IČO 70998582,70998582,founder:00241199,Zřizovatel IČO 00241199,obec,,Středočeský
school:70698309,IČO 70698309,70698309,founder:00276251,Zřizovatel IČO 00276251,obec,,Liberecký
school:70981230,IČO 70981230,70981230,founder:00284017,Zřizovatel IČO 00284017,obec,,Zlínský
school:75022753,IČO 75022753,75022753,founder:00288624,Zřizovatel IČO 00288624,obec,,Olomoucký
school:71008969,IČO 71008969,71008969,founder:00279056,Zřizovatel IČO 00279056,obec,,Pardubický
school:70998451,IČO 70998451,70998451,founder:00235601,Zřizovatel IČO 00235601,obec,,Středočeský
school:70188394,IČO 70188394,70188394,founder:00275263,Zřizovatel IČO 00275263,obec,,Královéhradecký
school:75031531,IČO 75031531,75031531,founder:00640115,Zřizovatel IČO 00640115,obec,,Středočeský
school:71005048,IČO 71005048,71005048,founder:00372081,Zřizovatel IČO 00372081,obec,,Jihomoravský
school:07668147,IČO 07668147,07668147,founder:00600172,Zřizovatel IČO 00600172,obec,,Jihomoravský
school:70985421,IČO 70985421,70985421,founder:00575658,Zřizovatel IČO 00575658,obec,,Olomoucký
school:03675611,IČO 03675611,03675611,founder:00849952,Zřizovatel IČO 00849952,obec,,Moravskoslezský
school:75022095,IČO 75022095,75022095,founder:00295817,Zřizovatel IČO 00295817,obec,,Vysočina
school:70982619,IČO 70982619,70982619,founder:00368725,Zřizovatel IČO 00368725,obec,,Jihomoravský
school:60611774,IČO 60611774,60611774,founder:00258202,Zřizovatel IČO 00258202,obec,,Plzeňský
school:72742577,IČO 72742577,72742577,founder:00672050,Zřizovatel IČO 00672050,obec,,Liberecký
school:70695270,IČO 70695270,70695270,founder:00261271,Zřizovatel IČO 00261271,obec,,Ústecký
school:70987386,IČO 70987386,70987386,founder:00635367,Zřizovatel IČO 00635367,obec,,Olomoucký
school:70993734,IČO 70993734,70993734,founder:00488348,Zřizovatel IČO 00488348,obec,,Jihomoravský
school:75021803,IČO 75021803,75021803,founder:00288195,Zřizovatel IČO 00288195,obec,,Olomoucký
school:70990859,IČO 70990859,70990859,founder:00269638,Zřizovatel IČO 00269638,obec,,Královéhradecký
school:72567040,IČO 72567040,72567040,founder:00236861,Zřizovatel IČO 00236861,obec,,Středočeský
school:71011439,IČO 71011439,71011439,founder:00269492,Zřizovatel IČO 00269492,obec,,Královéhradecký
school:75006588,IČO 75006588,75006588,founder:00572357,Zřizovatel IČO 00572357,obec,,Plzeňský
school:75023598,IČO 75023598,75023598,founder:00287687,Zřizovatel IČO 00287687,obec,,Zlínský
school:71011790,IČO 71011790,71011790,founder:00842133,Zřizovatel IČO 00842133,obec,,Vysočina
school:75026619,IČO 75026619,75026619,founder:64990940,Zřizovatel IČO 64990940,obec,,Olomoucký
school:72046759,IČO 72046759,72046759,founder:00509035,Zřizovatel IČO 00509035,obec,,Středočeský
school:75015129,IČO 75015129,75015129,founder:00275433,Zřizovatel IČO 00275433,obec,,Královéhradecký
school:71294279,IČO 71294279,71294279,founder:00234851,Zřizovatel IČO 00234851,obec,,Středočeský
school:64328295,IČO 64328295,64328295,founder:44992785,Zřizovatel IČO 44992785,obec,,Jihomoravský
school:60611413,IČO 60611413,60611413,founder:00253871,Zřizovatel IČO 00253871,obec,,Plzeňský
school:71002456,IČO 71002456,71002456,founder:00667188,Zřizovatel IČO 00667188,obec,,Jihočeský
school:71011773,IČO 71011773,71011773,founder:00246123,Zřizovatel IČO 00246123,obec,,Jihočeský
school:72743328,IČO 72743328,72743328,founder:00555932,Zřizovatel IČO 00555932,obec,,Ústecký
school:75026597,IČO 75026597,75026597,founder:00296384,Zřizovatel IČO 00296384,obec,,Moravskoslezský
school:19933282,IČO 19933282,19933282,founder:00296180,Zřizovatel IČO 00296180,obec,,Moravskoslezský
school:75034247,IČO 75034247,75034247,founder:00234346,Zřizovatel IČO 00234346,obec,,Středočeský
school:70994471,IČO 70994471,70994471,founder:00637246,Zřizovatel IČO 00637246,obec,,Jihomoravský
school:61357103,IČO 61357103,61357103,founder:00265781,Zřizovatel IČO 00265781,obec,,Ústecký
school:71009540,IČO 71009540,71009540,founder:00526045,Zřizovatel IČO 00526045,obec,,Ústecký
school:70988544,IČO 70988544,70988544,founder:00249955,Zřizovatel IČO 00249955,obec,,Jihočeský
school:70984972,IČO 70984972,70984972,founder:00272451,Zřizovatel IČO 00272451,obec,,Královéhradecký
school:75020629,IČO 75020629,75020629,founder:00542253,Zřizovatel IČO 00542253,obec,,Zlínský
school:71004980,IČO 71004980,71004980,founder:00373184,Zřizovatel IČO 00373184,obec,,Jihomoravský
school:71000631,IČO 71000631,71000631,founder:00234648,Zřizovatel IČO 00234648,obec,,Středočeský
school:75017598,IČO 75017598,75017598,founder:00581038,Zřizovatel IČO 00581038,obec,,Královéhradecký
school:75023636,IČO 75023636,75023636,founder:00362174,Zřizovatel IČO 00362174,obec,,Zlínský
school:60611821,IČO 60611821,60611821,founder:00255041,Zřizovatel IČO 00255041,obec,,Karlovarský
school:06415075,IČO 06415075,06415075,founder:00581381,Zřizovatel IČO 00581381,obec,,Jihočeský
school:72744103,IČO 72744103,72744103,founder:00526088,Zřizovatel IČO 00526088,obec,,Ústecký
school:75021951,IČO 75021951,75021951,founder:00544531,Zřizovatel IČO 00544531,obec,,Zlínský
school:75029294,IČO 75029294,75029294,founder:00576051,Zřizovatel IČO 00576051,obec,,Moravskoslezský
school:70987912,IČO 70987912,70987912,founder:00368652,Zřizovatel IČO 00368652,obec,,Jihomoravský
school:75033291,IČO 75033291,75033291,founder:00243558,Zřizovatel IČO 00243558,obec,,Středočeský
school:70983992,IČO 70983992,70983992,founder:00288667,Zřizovatel IČO 00288667,obec,,Olomoucký
school:72550031,IČO 72550031,72550031,founder:00255467,Zřizovatel IČO 00255467,obec,,Plzeňský
school:71010513,IČO 71010513,71010513,founder:00261009,Zřizovatel IČO 00261009,obec,,Liberecký
school:75034191,IČO 75034191,75034191,founder:00239241,Zřizovatel IČO 00239241,obec,,Středočeský
school:71004301,IČO 71004301,71004301,founder:00283088,Zřizovatel IČO 00283088,obec,,Jihomoravský
school:75023849,IČO 75023849,75023849,founder:00545775,Zřizovatel IČO 00545775,obec,,Vysočina
school:71011757,IČO 71011757,71011757,founder:00294730,Zřizovatel IČO 00294730,obec,,Vysočina
school:72548011,IČO 72548011,72548011,founder:00240699,Zřizovatel IČO 00240699,obec,,Středočeský
school:70996270,IČO 70996270,70996270,founder:00292940,Zřizovatel IČO 00292940,obec,,Jihomoravský
school:70991057,IČO 70991057,70991057,founder:00576085,Zřizovatel IČO 00576085,obec,,Moravskoslezský
school:71012966,IČO 71012966,71012966,founder:00600491,Zřizovatel IČO 00600491,obec,,Jihomoravský
school:75005751,IČO 75005751,75005751,founder:00259969,Zřizovatel IČO 00259969,obec,,Plzeňský
school:71002171,IČO 71002171,71002171,founder:00476447,Zřizovatel IČO 00476447,obec,,Vysočina
school:70985243,IČO 70985243,70985243,founder:00636100,Zřizovatel IČO 00636100,obec,,Olomoucký
school:70983658,IČO 70983658,70983658,founder:00290548,Zřizovatel IČO 00290548,obec,,Vysočina
school:70889562,IČO 70889562,70889562,founder:44992785,Zřizovatel IČO 44992785,obec,,Jihomoravský
school:70994960,IČO 70994960,70994960,founder:00640263,Zřizovatel IČO 00640263,obec,,Středočeský
school:75022231,IČO 75022231,75022231,founder:00637254,Zřizovatel IČO 00637254,obec,,Jihomoravský
school:62350781,IČO 62350781,62350781,founder:00303003,Zřizovatel IČO 00303003,obec,,Olomoucký
school:75133849,IČO 75133849,75133849,founder:00290149,Zřizovatel IČO 00290149,obec,,Vysočina
school:70640262,IČO 70640262,70640262,founder:63026112,Zřizovatel IČO 63026112,obec,,Moravskoslezský
school:71010688,IČO 71010688,71010688,founder:00255408,Zřizovatel IČO 00255408,obec,,Plzeňský
school:71004581,IČO 71004581,71004581,founder:00232475,Zřizovatel IČO 00232475,obec,,Středočeský
school:70995931,IČO 70995931,70995931,founder:00257729,Zřizovatel IČO 00257729,obec,,Plzeňský
school:70995796,IČO 70995796,70995796,founder:00572748,Zřizovatel IČO 00572748,obec,,Karlovarský
school:69983569,IČO 69983569,69983569,founder:00259420,Zřizovatel IČO 00259420,obec,,Karlovarský
school:71009108,IČO 71009108,71009108,founder:00235407,Zřizovatel IČO 00235407,obec,,Středočeský
school:70997934,IČO 70997934,70997934,founder:00296201,Zřizovatel IČO 00296201,obec,,Moravskoslezský
school:70994811,IČO 70994811,70994811,founder:00239321,Zřizovatel IČO 00239321,obec,,Středočeský
school:75031329,IČO 75031329,75031329,founder:00238988,Zřizovatel IČO 00238988,obec,,Středočeský
school:09454985,IČO 09454985,09454985,founder:00235300,Zřizovatel IČO 00235300,obec,,Středočeský
school:71004050,IČO 71004050,71004050,founder:00250864,Zřizovatel IČO 00250864,obec,,Jihočeský
school:75033186,IČO 75033186,75033186,founder:00234257,Zřizovatel IČO 00234257,obec,,Středočeský
school:71001981,IČO 71001981,71001981,founder:00281018,Zřizovatel IČO 00281018,obec,,Jihomoravský
school:60610328,IČO 60610328,60610328,founder:00260126,Zřizovatel IČO 00260126,obec,,Plzeňský
school:75031159,IČO 75031159,75031159,founder:00234541,Zřizovatel IČO 00234541,obec,,Středočeský
school:75015587,IČO 75015587,75015587,founder:00275182,Zřizovatel IČO 00275182,obec,,Královéhradecký
school:71005463,IČO 71005463,71005463,founder:00568660,Zřizovatel IČO 00568660,obec,,Zlínský
school:60610310,IČO 60610310,60610310,founder:00260126,Zřizovatel IČO 00260126,obec,,Plzeňský
school:71011901,IČO 71011901,71011901,founder:00279811,Zřizovatel IČO 00279811,obec,,Pardubický
school:75023059,IČO 75023059,75023059,founder:00281271,Zřizovatel IČO 00281271,obec,,Jihomoravský
school:71012621,IČO 71012621,71012621,founder:00573167,Zřizovatel IČO 00573167,obec,,Karlovarský
