institution_id,founder_id,amount,basis,certainty,attribution_method,source_document_kind,source_recipient_name,match_method,source_url,note
school:48132489,founder:00063941,4300000,budgeted,observed,recipient_reported_founder_budget,approved_school_budget,"Mateřská škola Hřibská, Praha 10, příspěvková organizace",normalized_exact,https://praha10.cz/wp-content/uploads/2025/12/Rozpocet-prisp_-organizaci-odboru-skolstvi-na-rok-2025-a-vyhledy-2026-2027.xlsx,Městská část Praha 10 approved 2025 school budget; Revenue from the municipal-district budget.
school:48133035,founder:00064581,7233000,budgeted,observed,recipient_reported_founder_budget,approved_city_school_budget,"Základní škola a mateřská škola ZRAK, Praha 2, nám. Míru 19",ico_exact,https://praha.eu/documents/d/praha/priloha-c-2c-k-usneseni-zhmp-bezne-vydaje-1,Hlavní město Praha approved 2025 school budget; Founder-funded component 000000091; direct education component 000033353 is excluded.
school:48134058,founder:00064581,6423000,budgeted,observed,recipient_reported_founder_budget,approved_city_school_budget,"Střední škola, Základní škola a Mateřská škola pro sluchově postižené, Praha 5, Výmolova 169",ico_exact,https://praha.eu/documents/d/praha/priloha-c-2c-k-usneseni-zhmp-bezne-vydaje-1,Hlavní město Praha approved 2025 school budget; Founder-funded component 000000091; direct education component 000033353 is excluded.
school:48135411,founder:00064581,6253000,budgeted,observed,recipient_reported_founder_budget,approved_city_school_budget,"Základní škola a Střední škola, Praha 4, Kupeckého 576",ico_exact,https://praha.eu/documents/d/praha/priloha-c-2c-k-usneseni-zhmp-bezne-vydaje-1,Hlavní město Praha approved 2025 school budget; Founder-funded component 000000091; direct education component 000033353 is excluded.
school:49366629,founder:00064581,9300000,budgeted,observed,recipient_reported_founder_budget,approved_city_school_budget,"Gymnázium Opatov, Praha 4, Konstantinova 1500",ico_exact,https://praha.eu/documents/d/praha/priloha-c-2c-k-usneseni-zhmp-bezne-vydaje-1,Hlavní město Praha approved 2025 school budget; Founder-funded component 000000091; direct education component 000033353 is excluded.
school:49371185,founder:00064581,6400000,budgeted,observed,recipient_reported_founder_budget,approved_city_school_budget,"Gymnázium, Praha 9, Chodovická 2250",ico_exact,https://praha.eu/documents/d/praha/priloha-c-2c-k-usneseni-zhmp-bezne-vydaje-1,Hlavní město Praha approved 2025 school budget; Founder-funded component 000000091; direct education component 000033353 is excluded.
school:49624059,founder:00064581,10203000,budgeted,observed,recipient_reported_founder_budget,approved_city_school_budget,"Střední průmyslová škola stavební Josefa Gočára, Praha 4, Družstevní ochoz 3",ico_exact,https://praha.eu/documents/d/praha/priloha-c-2c-k-usneseni-zhmp-bezne-vydaje-1,Hlavní město Praha approved 2025 school budget; Founder-funded component 000000091; direct education component 000033353 is excluded.
school:49625446,founder:00064581,7900000,budgeted,observed,recipient_reported_founder_budget,approved_city_school_budget,"Gymnázium, Praha 6, Nad Alejí 1952",ico_exact,https://praha.eu/documents/d/praha/priloha-c-2c-k-usneseni-zhmp-bezne-vydaje-1,Hlavní město Praha approved 2025 school budget; Founder-funded component 000000091; direct education component 000033353 is excluded.
school:49626655,founder:00064581,4738000,budgeted,observed,recipient_reported_founder_budget,approved_city_school_budget,"Konzervatoř Duncan centre, Praha 4, Branická 41",ico_exact,https://praha.eu/documents/d/praha/priloha-c-2c-k-usneseni-zhmp-bezne-vydaje-1,Hlavní město Praha approved 2025 school budget; Founder-funded component 000000091; direct education component 000033353 is excluded.
school:49629077,founder:00064581,24768000,budgeted,observed,recipient_reported_founder_budget,approved_city_school_budget,Střední škola podnikání a gastronomie,ico_exact,https://praha.eu/documents/d/praha/priloha-c-2c-k-usneseni-zhmp-bezne-vydaje-1,Hlavní město Praha approved 2025 school budget; Founder-funded component 000000091; direct education component 000033353 is excluded.
school:60436107,founder:00064581,2479000,budgeted,observed,recipient_reported_founder_budget,approved_city_school_budget,"Základní škola a Střední škola Karla Herforta, Praha 1, Josefská 4",ico_exact,https://praha.eu/documents/d/praha/priloha-c-2c-k-usneseni-zhmp-bezne-vydaje-1,Hlavní město Praha approved 2025 school budget; Founder-funded component 000000091; direct education component 000033353 is excluded.
school:60436735,founder:00064581,11597000,budgeted,observed,recipient_reported_founder_budget,approved_city_school_budget,Odborné učiliště Vyšehrad,ico_exact,https://praha.eu/documents/d/praha/priloha-c-2c-k-usneseni-zhmp-bezne-vydaje-1,Hlavní město Praha approved 2025 school budget; Founder-funded component 000000091; direct education component 000033353 is excluded.
school:60444916,founder:00064581,3800000,budgeted,observed,recipient_reported_founder_budget,approved_city_school_budget,"Gymnázium, Praha 4, Písnická 760",ico_exact,https://praha.eu/documents/d/praha/priloha-c-2c-k-usneseni-zhmp-bezne-vydaje-1,Hlavní město Praha approved 2025 school budget; Founder-funded component 000000091; direct education component 000033353 is excluded.
school:60445475,founder:00064581,8500000,budgeted,observed,recipient_reported_founder_budget,approved_city_school_budget,"Gymnázium, Praha 9, Českolipská 373",ico_exact,https://praha.eu/documents/d/praha/priloha-c-2c-k-usneseni-zhmp-bezne-vydaje-1,Hlavní město Praha approved 2025 school budget; Founder-funded component 000000091; direct education component 000033353 is excluded.
school:60446161,founder:00064581,2819000,budgeted,observed,recipient_reported_founder_budget,approved_city_school_budget,"Základní škola, Praha 4, Ružinovská 2017",ico_exact,https://praha.eu/documents/d/praha/priloha-c-2c-k-usneseni-zhmp-bezne-vydaje-1,Hlavní město Praha approved 2025 school budget; Founder-funded component 000000091; direct education component 000033353 is excluded.
school:60446170,founder:00064581,1385000,budgeted,observed,recipient_reported_founder_budget,approved_city_school_budget,"Základní škola, Praha 4, Boleslavova 1",ico_exact,https://praha.eu/documents/d/praha/priloha-c-2c-k-usneseni-zhmp-bezne-vydaje-1,Hlavní město Praha approved 2025 school budget; Founder-funded component 000000091; direct education component 000033353 is excluded.
school:60446218,founder:00064581,5500000,budgeted,observed,recipient_reported_founder_budget,approved_city_school_budget,"Gymnázium Jiřího Gutha-Jarkovského, Praha 1, Truhlářská 22",ico_exact,https://praha.eu/documents/d/praha/priloha-c-2c-k-usneseni-zhmp-bezne-vydaje-1,Hlavní město Praha approved 2025 school budget; Founder-funded component 000000091; direct education component 000033353 is excluded.
school:60446234,founder:00064581,11500000,budgeted,observed,recipient_reported_founder_budget,approved_city_school_budget,"Gymnázium Jaroslava Heyrovského, Praha 5, Mezi Školami 2475",ico_exact,https://praha.eu/documents/d/praha/priloha-c-2c-k-usneseni-zhmp-bezne-vydaje-1,Hlavní město Praha approved 2025 school budget; Founder-funded component 000000091; direct education component 000033353 is excluded.
school:60446242,founder:00064581,9200000,budgeted,observed,recipient_reported_founder_budget,approved_city_school_budget,Hotelová škola a Gymnázium Radlická,ico_exact,https://praha.eu/documents/d/praha/priloha-c-2c-k-usneseni-zhmp-bezne-vydaje-1,Hlavní město Praha approved 2025 school budget; Founder-funded component 000000091; direct education component 000033353 is excluded.
